afc_id	class	pathway	superclass
AFC000386	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000389	Wax monoesters	Fatty acids	Fatty esters
AFC000390	Pyrroloquinoline alkaloids	Alkaloids	Tryptophan alkaloids
AFC000391	Purine nucleosides	Carbohydrates	Nucleosides
AFC000394	Monoacylglycerols	Fatty acids	Glycerolipids
AFC000396	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000397	Wax monoesters	Fatty acids	Fatty esters
AFC000398	Hydrocarbons	Fatty acids	Fatty acyls
AFC000399	Carane monoterpenoids	Terpenoids	Monoterpenoids
AFC000400	Fatty alcohols	Fatty acids	Fatty acyls
AFC000401	Apocarotenoids (β-)	Terpenoids	Apocarotenoids
AFC000408	Acyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000409	Fatty alcohols	Fatty acids	Fatty acyls
AFC000410	Wax monoesters	Fatty acids	Fatty esters
AFC000411	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000412	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000413	Aminoacids	Amino acids and Peptides	Small peptides
AFC000415	Fatty acids	Fatty acyls
AFC000416	Fatty acids
AFC000417	Purine nucleosides	Carbohydrates	Nucleosides
AFC000418	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000419	Acyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000420	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000421	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000422	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000423
AFC000425	Purine nucleosides	Carbohydrates	Nucleosides
AFC000427	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000428	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000429	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000432	Monosaccharides	Carbohydrates	Saccharides
AFC000433	Dipeptides	Amino acids and Peptides	Small peptides
AFC000434	Ergostane steroids	Terpenoids	Steroids
AFC000435	Tripeptides	Amino acids and Peptides	Small peptides
AFC000436	Dibenzylbutane lignans	Shikimates and Phenylpropanoids	Lignans
AFC000437	Monosaccharides	Carbohydrates	Saccharides
AFC000438	Cholestane steroids	Terpenoids	Steroids
AFC000439	Wax monoesters	Fatty acids	Fatty esters
AFC000440
AFC000442	Aminoacids	Amino acids and Peptides	Small peptides
AFC000443	Flavanones	Shikimates and Phenylpropanoids	Flavonoids
AFC000444	Fatty alcohols	Fatty acids	Fatty acyls
AFC000445	Aminoacids	Amino acids and Peptides	Small peptides
AFC000446
AFC000447	Monosaccharides	Carbohydrates	Saccharides
AFC000448	Dipeptides	Amino acids and Peptides	Small peptides
AFC000451
AFC000452	Flavandiols (Leucoanthocyanidins)	Shikimates and Phenylpropanoids	Flavonoids
AFC000453	N-acyl amines	Fatty acids	Fatty amides
AFC000454	Oleanane triterpenoids	Terpenoids	Triterpenoids
AFC000456	Dihydroflavonols	Shikimates and Phenylpropanoids	Flavonoids
AFC000457	Oleanane triterpenoids	Terpenoids	Triterpenoids
AFC000458	Purine nucleotides	Carbohydrates	Nucleosides
AFC000459	Furofuranoid lignans	Shikimates and Phenylpropanoids	Lignans
AFC000460	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000461	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000462	Hydrocarbons	Fatty acids	Fatty acyls
AFC000463	Monosaccharides	Carbohydrates	Saccharides
AFC000465	Tropane alkaloids	Alkaloids	Ornithine alkaloids
AFC000466	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000467	Flavanones	Shikimates and Phenylpropanoids	Flavonoids
AFC000469	Lactones	Fatty acids	Fatty esters
AFC000471	Cholestane steroids	Terpenoids	Steroids
AFC000472	Carbohydrates
AFC000473	Aminoacids	Amino acids and Peptides	Small peptides
AFC000474	Prenyl quinone meroterpenoids	Terpenoids	Meroterpenoids
AFC000475	Gibberellins	Terpenoids	Diterpenoids
AFC000476	Cycloartane triterpenoids;Lanostane, Tirucallane and Euphane triterpenoids	Terpenoids	Triterpenoids
AFC000477	Ergostane steroids	Terpenoids	Steroids
AFC000478	Cholestane steroids	Terpenoids	Steroids
AFC000480	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000481	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000482	Prenyl quinone meroterpenoids	Terpenoids	Meroterpenoids
AFC000483	Pregnane steroids	Terpenoids	Steroids
AFC000484	Cholestane steroids	Terpenoids	Steroids
AFC000485	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000488	Disaccharides;Polysaccharides	Carbohydrates	Saccharides
AFC000489	Aminoacids	Amino acids and Peptides	Small peptides
AFC000491	Iridoids monoterpenoids	Terpenoids	Monoterpenoids
AFC000492	Aminoacids;Dipeptides	Amino acids and Peptides	Small peptides
AFC000493	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000494	Monosaccharides	Carbohydrates	Saccharides
AFC000495	Cycloartane triterpenoids	Terpenoids	Triterpenoids
AFC000496	Monosaccharides	Carbohydrates	Saccharides
AFC000497	Monosaccharides	Carbohydrates	Saccharides
AFC000498	Fatty acids	Fatty acyls
AFC000500	Aminoacids	Amino acids and Peptides	Small peptides
AFC000501	Purine nucleotides	Carbohydrates	Nucleosides
AFC000502	Anthranillic acid derivatives	Alkaloids	Anthranilic acid alkaloids
AFC000503	Cycloartane triterpenoids;Ergostane steroids	Terpenoids	Triterpenoids;Steroids
AFC000504	Cholestane steroids	Terpenoids	Steroids
AFC000505	Wax monoesters	Fatty acids	Fatty esters
AFC000507	Monosaccharides;Pyrimidine nucleotides	Carbohydrates	Saccharides;Nucleosides
AFC000509	Monosaccharides	Carbohydrates	Saccharides
AFC000512	Fatty acids
AFC000513	Wax monoesters	Fatty acids	Fatty esters
AFC000514	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000515	Flavones	Shikimates and Phenylpropanoids	Flavonoids
AFC000516	Flavanones	Shikimates and Phenylpropanoids	Flavonoids
AFC000517	Oleanane triterpenoids	Terpenoids	Triterpenoids
AFC000518	Shikimates and Phenylpropanoids
AFC000519	Dibenzylbutyrolactone lignans	Shikimates and Phenylpropanoids	Lignans
AFC000520	Monosaccharides	Carbohydrates	Saccharides
AFC000521	Fatty acids
AFC000522	Cholestane steroids;Ergostane steroids	Terpenoids	Steroids
AFC000523	Tripeptides	Amino acids and Peptides	Small peptides
AFC000525	Carboline alkaloids	Alkaloids	Tryptophan alkaloids
AFC000526	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000527	Cyclitols	Carbohydrates	Polyols
AFC000529	Oleanane triterpenoids	Terpenoids	Triterpenoids
AFC000531	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000532	Cyclitols	Carbohydrates	Polyols
AFC000533	Disaccharides	Carbohydrates	Saccharides
AFC000534	Monosaccharides	Carbohydrates	Saccharides
AFC000535	Dihydroflavonols	Shikimates and Phenylpropanoids	Flavonoids
AFC000536	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000539	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000542	Dipeptides	Amino acids and Peptides	Small peptides
AFC000543
AFC000544	Tripeptides	Amino acids and Peptides	Small peptides
AFC000546	Dipeptides	Amino acids and Peptides	Small peptides
AFC000549	Aminoacids	Amino acids and Peptides	Small peptides
AFC000550	Monosaccharides	Carbohydrates	Saccharides
AFC000552	Hydrocarbons	Fatty acids	Fatty acyls
AFC000555	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000557	Flavonols	Shikimates and Phenylpropanoids	Flavonoids
AFC000558	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000559	Aminoacids	Amino acids and Peptides	Small peptides
AFC000560	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000561	Dipeptides	Amino acids and Peptides	Small peptides
AFC000562	Aminoacids	Amino acids and Peptides	Small peptides
AFC000563
AFC000564	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000566	Phenylethanoids	Shikimates and Phenylpropanoids	Phenylethanoids (C6-C2)
AFC000568	Multiflorane triterpenoids	Terpenoids	Triterpenoids
AFC000569	Fatty acids
AFC000570	Androstane steroids	Terpenoids	Steroids
AFC000571	Aminoacids	Amino acids and Peptides	Small peptides
AFC000572	Aminoacids	Amino acids and Peptides	Small peptides
AFC000573	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000574	Monosaccharides	Carbohydrates	Saccharides
AFC000575	Purine nucleotides	Carbohydrates	Nucleosides
AFC000576	Cyclitols	Carbohydrates	Polyols
AFC000577	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000579	Alkaloids
AFC000580	Secoiridoid monoterpenoids	Terpenoids	Monoterpenoids
AFC000581	Carboline alkaloids	Alkaloids	Tryptophan alkaloids
AFC000582	Alkaloids;Terpenoids
AFC000583	Dihydroflavonols	Shikimates and Phenylpropanoids	Flavonoids
AFC000585	Flavones	Shikimates and Phenylpropanoids	Flavonoids
AFC000586	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000587	Cyclitols	Carbohydrates	Polyols
AFC000589	Monosaccharides	Carbohydrates	Saccharides
AFC000590	Purine nucleotides;Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000591	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000592	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000594	Lanostane, Tirucallane and Euphane triterpenoids	Terpenoids	Triterpenoids
AFC000595	Cholestane steroids	Terpenoids	Steroids
AFC000596	Pyrazine and Piperazine alkaloids	Alkaloids	Peptide alkaloids
AFC000597	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000598	Imidazole alkaloids	Alkaloids	Histidine alkaloids
AFC000599	Isoflavanones	Shikimates and Phenylpropanoids	Isoflavonoids
AFC000600	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000601	Ergostane steroids	Terpenoids	Steroids
AFC000602	Carbohydrates
AFC000604	Arylnaphthalene and aryltetralin lignans	Shikimates and Phenylpropanoids	Lignans
AFC000607	Flavones	Shikimates and Phenylpropanoids	Flavonoids
AFC000608	Monosaccharides	Carbohydrates	Saccharides
AFC000609	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000610	Purine nucleotides	Carbohydrates	Nucleosides
AFC000611	Shikimic acids and derivatives;Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000612	Flavonols	Shikimates and Phenylpropanoids	Flavonoids
AFC000613	Tripeptides	Amino acids and Peptides	Small peptides
AFC000614	Dipeptides	Amino acids and Peptides	Small peptides
AFC000615	Aminoacids	Amino acids and Peptides	Small peptides
AFC000616	Aminoacids	Amino acids and Peptides	Small peptides
AFC000617	Carbohydrates
AFC000618	Ergostane steroids	Terpenoids	Steroids
AFC000619	Cholestane steroids;Ergostane steroids	Terpenoids	Steroids
AFC000620	Aminoacids	Amino acids and Peptides	Small peptides
AFC000621	Polyamines	Alkaloids	Ornithine alkaloids
AFC000622	Alkaloids
AFC000623	Stigmastane steroids	Terpenoids	Steroids
AFC000625	Fatty alcohols	Fatty acids	Fatty acyls
AFC000626	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000627	Lanostane, Tirucallane and Euphane triterpenoids	Terpenoids	Triterpenoids
AFC000628	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000629	Alkaloids;Terpenoids
AFC000630	Lupane triterpenoids	Terpenoids	Triterpenoids
AFC000631	Furanoid lignans	Shikimates and Phenylpropanoids	Lignans
AFC000633	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000634	Iridoids monoterpenoids	Terpenoids	Monoterpenoids
AFC000636	Purine nucleosides	Carbohydrates	Nucleosides
AFC000637	Monosaccharides	Carbohydrates	Saccharides
AFC000638	Monosaccharides	Carbohydrates	Saccharides
AFC000639	Purine nucleosides	Carbohydrates	Nucleosides
AFC000640	Purine nucleosides	Carbohydrates	Nucleosides
AFC000641	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000642	Monosaccharides	Carbohydrates	Saccharides
AFC000644	Carbohydrates
AFC000645	Aminoacids	Amino acids and Peptides	Small peptides
AFC000646	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000648	Alkaloids
AFC000650	Aminoacids	Amino acids and Peptides	Small peptides
AFC000651	Monosaccharides	Carbohydrates	Saccharides
AFC000652	Disaccharides;Polysaccharides	Carbohydrates	Saccharides
AFC000654	Monosaccharides	Carbohydrates	Saccharides
AFC000655	Aminoacids	Amino acids and Peptides	Small peptides
AFC000656	Phenylethylamines	Alkaloids	Tyrosine alkaloids
AFC000658
AFC000660	Aminoacids	Amino acids and Peptides	Small peptides
AFC000662	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000663	Aminoacids	Amino acids and Peptides	Small peptides
AFC000664	Aminoacids	Amino acids and Peptides	Small peptides
AFC000666	Shikimic acids and derivatives	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000669	Monosaccharides	Carbohydrates	Saccharides
AFC000670	Aminoacids	Amino acids and Peptides	Small peptides
AFC000671
AFC000672	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000673	Aminoacids	Amino acids and Peptides	Small peptides
AFC000674	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000675	Cholestane steroids	Terpenoids	Steroids
AFC000677	Amino fatty acids;Aminoacids	Amino acids and Peptides;Fatty acids	Small peptides;Fatty Acids and Conjugates
AFC000678
AFC000679	Cyclitols	Carbohydrates	Polyols
AFC000680	Carbohydrates	Polyols
AFC000681	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000682	Cyclitols	Carbohydrates	Polyols
AFC000684	Cyclitols	Carbohydrates	Polyols
AFC000685	Dipeptides	Amino acids and Peptides	Small peptides
AFC000686	Disaccharides	Carbohydrates	Saccharides
AFC000687	Polysaccharides	Carbohydrates	Saccharides
AFC000688	Monosaccharides	Carbohydrates	Saccharides
AFC000689	Cholestane steroids	Terpenoids	Steroids
AFC000690	Disaccharides;Polysaccharides	Carbohydrates	Saccharides
AFC000691	Polysaccharides	Carbohydrates	Saccharides
AFC000692	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000693	Alkaloids
AFC000696	Disaccharides;Monosaccharides	Carbohydrates	Saccharides
AFC000697	Monosaccharides	Carbohydrates	Saccharides
AFC000700	Shikimic acids and derivatives	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000701	Sphingoid bases	Fatty acids	Spingolipids
AFC000702	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000704
AFC000705	Shikimates and Phenylpropanoids
AFC000706	Monosaccharides	Carbohydrates	Saccharides
AFC000707	Aminoacids	Amino acids and Peptides	Small peptides
AFC000708
AFC000709	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000710	Ergostane steroids	Terpenoids	Steroids
AFC000711	Cleistanthane diterpenoids	Terpenoids	Diterpenoids
AFC000713	Carbohydrates
AFC000714	Disaccharides;Polysaccharides	Carbohydrates	Saccharides
AFC000716	Cholestane steroids	Terpenoids	Steroids
AFC000717	Lanostane, Tirucallane and Euphane triterpenoids	Terpenoids	Triterpenoids
AFC000719	Disaccharides	Carbohydrates	Saccharides
AFC000720	Monosaccharides	Carbohydrates	Saccharides
AFC000721	Flavanones	Shikimates and Phenylpropanoids	Flavonoids
AFC000723
AFC000724	Dipeptides	Amino acids and Peptides	Small peptides
AFC000725	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000726	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000727	Gibberellins	Terpenoids	Diterpenoids
AFC000728	Isoquinoline alkaloids;Tetrahydroisoquinoline alkaloids	Alkaloids	Tyrosine alkaloids
AFC000730	Pinane monoterpenoids	Terpenoids	Monoterpenoids
AFC000731	Pinane monoterpenoids	Terpenoids	Monoterpenoids
AFC000732	Acyl phloroglucinols	Polyketides	Phloroglucinols
AFC000733	Polysaccharides	Carbohydrates	Saccharides
AFC000734	Polysaccharides	Carbohydrates	Saccharides
AFC000735	Aminoacids	Amino acids and Peptides	Small peptides
AFC000737	Chromones	Polyketides	Chromanes
AFC000738	Chamigrane sesquiterpenoids	Terpenoids	Sesquiterpenoids
AFC000739	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000742	Menthane monoterpenoids;Monocyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000743	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000744	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000745	Monosaccharides	Carbohydrates	Saccharides
AFC000746	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000748	Cholestane steroids;Lanostane, Tirucallane and Euphane triterpenoids	Terpenoids	Triterpenoids;Steroids
AFC000749	Ergostane steroids	Terpenoids	Steroids
AFC000750	Cyclitols	Carbohydrates	Polyols
AFC000751	Terpenoids
AFC000752	Gibberellins	Terpenoids	Diterpenoids
AFC000753	Gibberellins	Terpenoids	Diterpenoids
AFC000754	Gibberellins	Terpenoids	Diterpenoids
AFC000755	Gibberellins	Terpenoids	Diterpenoids
AFC000756	Gibberellins;Tetracyclic diterpenoids	Terpenoids	Diterpenoids
AFC000757	Kaurane and Phyllocladane diterpenoids	Terpenoids	Diterpenoids
AFC000758	Kaurane and Phyllocladane diterpenoids	Terpenoids	Diterpenoids
AFC000760	Oleanane triterpenoids	Terpenoids	Triterpenoids
AFC000761	Aminoacids	Amino acids and Peptides	Small peptides
AFC000762	Cleistanthane diterpenoids	Terpenoids	Diterpenoids
AFC000763	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000765	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000766	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000767	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000768	Prostaglandins	Fatty acids	Eicosanoids
AFC000769	Farnesane sesquiterpenoids	Terpenoids	Sesquiterpenoids
AFC000770	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000771	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000772	Alkaloids	Tryptophan alkaloids
AFC000773	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000774	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000776	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000777	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000778	Monosaccharides	Carbohydrates	Saccharides
AFC000779	Acyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000780	Purine nucleotides	Carbohydrates	Nucleosides
AFC000781	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000782	Carotenoids (C40, ε-ε)	Terpenoids	Carotenoids (C40)
AFC000783	Polysaccharides	Carbohydrates	Saccharides
AFC000784	Anthranillic acid derivatives	Alkaloids	Anthranilic acid alkaloids
AFC000786	Dipeptides;Tripeptides	Amino acids and Peptides	Small peptides
AFC000787	Purine nucleotides	Carbohydrates	Nucleosides
AFC000788	Farnesane sesquiterpenoids	Terpenoids	Sesquiterpenoids
AFC000791	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000792	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)
AFC000794	Monosaccharides	Carbohydrates	Saccharides
AFC000795	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000796	Phenazine alkaloids	Alkaloids	Anthranilic acid alkaloids
AFC000799	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000800	Acyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000801	Quinolizidine alkaloids	Alkaloids	Lysine alkaloids
AFC000802	Fatty alcohols	Fatty acids	Fatty acyls
AFC000803	Stigmastane steroids	Terpenoids	Steroids
AFC000804	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000805	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000807	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000808	Acyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000809	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000810	Acyclic monoterpenoids;Cubebane sesquiterpenoids	Terpenoids	Monoterpenoids;Sesquiterpenoids
AFC000811	Apocarotenoids (β-);Megastigmanes	Terpenoids	Apocarotenoids
AFC000812	Cyclophytane diterpenoids	Terpenoids	Diterpenoids
AFC000813	Acyclic triterpenoids	Terpenoids	Triterpenoids
AFC000814	Chalcones	Shikimates and Phenylpropanoids	Flavonoids
AFC000815	Chalcones	Shikimates and Phenylpropanoids	Flavonoids
AFC000816	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000818	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000819	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000823	Purine nucleotides	Carbohydrates	Nucleosides
AFC000825	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000826	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000827	Disaccharides	Carbohydrates	Saccharides
AFC000828
AFC000829	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000831	Dipeptides	Amino acids and Peptides	Small peptides
AFC000832	Sphingoid bases	Fatty acids	Spingolipids
AFC000833	Glucosinolates	Amino acids and Peptides	Amino acid glycosides
AFC000836	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000837	Pyridine alkaloids;Pyrrolidine alkaloids	Alkaloids	Ornithine alkaloids;Nicotinic acid alkaloids
AFC000838	Linear diarylheptanoids	Shikimates and Phenylpropanoids	Diarylheptanoids
AFC000839	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000840	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000841	Aminoacids	Amino acids and Peptides	Small peptides
AFC000843	Thia fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000844	Apocarotenoids (Ψ-);Hydrocarbons	Fatty acids;Terpenoids	Apocarotenoids;Fatty acyls
AFC000845	Monosaccharides	Carbohydrates	Saccharides
AFC000846	Apocarotenoids (Ψ-);Hydrocarbons	Fatty acids;Terpenoids	Apocarotenoids;Fatty acyls
AFC000847	Apocarotenoids (Ψ-)	Terpenoids	Apocarotenoids
AFC000848	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000849	Monosaccharides	Carbohydrates	Saccharides
AFC000850	Hydrocarbons	Fatty acids	Fatty acyls
AFC000851	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000852	Fatty alcohols	Fatty acids	Fatty acyls
AFC000853	Flavandiols (Leucoanthocyanidins)	Shikimates and Phenylpropanoids	Flavonoids
AFC000854	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000855	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000856	Sophorolipids	Fatty acids	Fatty acyl glycosides
AFC000857	Simple coumarins	Shikimates and Phenylpropanoids	Coumarins
AFC000858	Flavandiols (Leucoanthocyanidins)	Shikimates and Phenylpropanoids	Flavonoids
AFC000859	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000861	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
