compoundName	iupacName	cas	kegg	hmdb	pubchem	chebi	foodb	lipidmaps	molecularFormula	molecularWeight	afc_id	original_smiles	inchikey	Canonical_Smiles	contains_sugars	contains_ring_sugars	contains_linear_sugars	number_of_carbons	number_of_nitrogens	number_of_oxygens	number_of_rings	max_number_of_rings	min_number_of_rings	sugar_free_heavy_atom_number	sugar_free_total_atom_number	total_atom_number	bond_count	murko_framework	ertlFunctionalFragments	ertlFunctionalFragmentsPseudoSmiles	alogp	alogp2	amralogp	apol	bpol	eccentricConnectivityIndexDescriptor	fmfDescriptor	fsp3	fragmentComplexityDescriptor	numberSpiroAtoms	lipinskiRuleOf5Failures	xlogp	zagrebIndex	topoPSA	tpsaEfficiency
"(1S,2S,4R,6S,9S,10R,11R,14R,15R)-6-(2-methoxypropan-2-yl)-2,9,11,14,19,19-hexamethyl-17-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-5-oxapentacyclo[12.8.0.0²,¹¹.0⁴,¹⁰.0¹⁵,²⁰]docosa-16,20-diene-8,13,18-trione"									C37H54O11	674.8194830910110	AFC001815	COC(C)(C)[C@@H]1CC(=O)[C@@H](C)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1	CJXFVEKXQMCNNX-UHFFFAOYSA-N	C([H])([H])([H])[C@]1([H])C(=O)C([H])([H])[C@@]([H])(C(C([H])([H])[H])(C([H])([H])[H])OC([H])([H])[H])O[C@]2([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@]4([H])C([H])([H])C([H])=C5[C@@]([H])(C([H])=C(C(=O)C5(C([H])([H])[H])C([H])([H])[H])O[C@@]6([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O6)O[H])O[H])O[H])[C@]4(C([H])([H])[H])C(=O)C([H])([H])[C@]3(C([H])([H])[H])[C@@]12[H]	0	FALSE	FALSE	37	0	11	null	15	6	null	null	null	53	O(C1=CC2C(=CCC3C2CCC4C5CCCCOC5CC34)CC1)C6OCCCC6	"{[C]=[C]=1, *C(*)=O=2, *O*=2, [H]O[C]=4, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=1, ROR=2, RC(R)=O=2, [H]O[C]=4, RO[C]OC(=[C])C(R)=O=1}"	0.787599999999996	0.6203137599999940	175.8489	109.94882200000000	69.57117800000000	1414	0.28431372549019600	0.8108108108108110	9193.11	0	2	2.109000000000000	284.0	169.05000000000000	0.2506796701593330
"(1S,2S,4R,6S,8S,9R,10R,13R,14R)-16-{[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-2-yl]oxy}-8-hydroxy-2,8,10,13,18,18-hexamethyl-6-(2-methylprop-1-en-1-yl)-5-oxapentacyclo[11.8.0.0²,¹⁰.0⁴,⁹.0¹⁴,¹⁹]henicosa-15,19-diene-12,17-dione"									C42H62O14	790.9349033882650	AFC001816	CC(C)=C[C@@H]1C[C@](C)(O)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1	UQKQSTXKJGBRSV-UHFFFAOYSA-N	C([H])([H])([H])C(=C([H])[C@]1([H])C([H])([H])[C@@](C([H])([H])[H])([C@@]2([H])[C@@]([H])(C([H])([H])[C@@]3(C([H])([H])[H])[C@]4([H])C([H])([H])C([H])=C5[C@@]([H])(C([H])=C(C(=O)C5(C([H])([H])[H])C([H])([H])[H])O[C@@]6([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O6)O[H])O[H])O[C@@]7([H])[C@@]([H])([C@@]([H])([C@]([H])([C@]([H])(C([H])([H])[H])O7)O[H])O[H])O[H])[C@]4(C([H])([H])[H])C(=O)C([H])([H])[C@]23C([H])([H])[H])O1)O[H])C([H])([H])[H]	0	FALSE	FALSE	42	0	14	null	16	7	null	null	null	62	O(C1=CC2C(=CCC3C2CCC4C5CCCOC5CC34)CC1)C6OCCCC6OC7OCCCC7	"{[C]=[C]=2, *C(*)=O=1, *O*=1, [H]O[C]=7, *O[C]O*=1, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=2, ROR=1, RO[C]OR=1, RC(R)=O=1, [H]O[C]=7, RO[C]OC(=[C])C(R)=O=1}"	0.3017999999999970	0.09108323999999840	202.2388	126.48916600000000	79.27483400000010	1934	0.2966101694915250	0.8095238095238100	12296.14	0	3	2.030000000000000	330.0	221.90000000000000	0.2807389699146310
gastrodin		62499-27-8	C16964	no entry found	115067	80828	no entry found	no entry found	C13H18O7	286.2783347200940	AFC001817	OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1	PUQSUZTXKPLAPR-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[C@@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H])C([H])([H])O[H]	0	FALSE	FALSE	13	0	7	null	2	2	null	null	null	21	O(c1ccccc1)C2OCCCC2	"{[H]O[C]=5, *O[C]O*=1}"	"{RO[C]OR=1, [H]O[C]=5}"	-1.8949000000000000	3.5906460100000100	71.31810000000000	40.49627400000000	23.509726	354	0.34210526315789500	0.5384615384615380	1141.07	0	0	-1.4270000000000000	100.0	119.61000000000000	0.41806292887295300
"5,7-dihydroxy-2-(4-methoxyphenyl)-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one"	"5,7-dihydroxy-2-(4-methoxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one"		no entry found	no entry found	74977540	no entry found	no entry found	no entry found	C22H22O10	446.40493558919700	AFC001818	COc1ccc(-c2cc(=O)c3c(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)cc3o2)cc1	AQHMJUSCGYYXRM-UHFFFAOYSA-N	C([H])([H])([H])OC1=C([H])C([H])=C(C([H])=C1[H])C2=C([H])C(=O)C3=C(C(=C(C([H])=C3O2)O[H])[C@@]4([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O4)O[H])O[H])O[H])O[H]	0	FALSE	FALSE	22	0	10	null	5	4	null	null	null	35	O1c2ccc(cc2CC=C1c3ccccc3)C4OCCCC4	"{*o*=1, *O*=2, [H]O[c]=2, [c]=O=1, [H]O[C]=4}"	"{[C*]=O=1, [H]O[C*]=2, ROR=2, RO*R=1, [H]O[C]=4}"	-2.4842000000000000	6.171249640000010	117.6241	61.40944600000000	30.756554	825	0.4074074074074070	0.3181818181818180	2257.1	0	1	-0.38600000000000000	174.0	166.14000000000000	0.3724099278671090
"4-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}benzaldehyde"	helicid		no entry found	no entry found	3303383	no entry found	no entry found	no entry found	C13H16O7	284.26245321244200	AFC001819	O=Cc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1	OLZAGZCCJJBKNZ-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[C@@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H])C([H])=O	0	FALSE	FALSE	13	0	7	null	2	2	null	null	null	21	O(c1ccccc1)C2OCCCC2	"{*[C]=O=1, [H]O[C]=4, *O[C]O*=1}"	"{R[C]=O=1, RO[C]OR=1, [H]O[C]=4}"	-1.6386000000000000	2.6850099600000000	70.3352	39.16268800000000	22.281312	354	0.3611111111111110	0.46153846153846200	989.07	0	0	-0.9570000000000000	100.0	116.45000000000000	0.4099058847312550
"(1R,2R,3aS,3bS,9aR,9bR,11aR)-2-hydroxy-3a,6,6,9b,11a-pentamethyl-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1-[(2R,5R)-2,5,6-trihydroxy-6-methyl-3-oxoheptan-2-yl]-1H,2H,3H,3bH,4H,9aH,11H-cyclopenta[a]phenanthrene-7,10-dione"									C36H54O13	694.8075570493620	AFC001820	CC1(C)C(=O)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)C[C@@H](O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C	XPEAYHKXEWXAKV-UHFFFAOYSA-N	C([H])([H])([H])C1(C([H])([H])[H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4(C([H])([H])[H])C([H])([H])[C@]([H])([C@@]([H])([C@@]4(C([H])([H])[H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])[C@]2([H])C([H])=C(C1=O)O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])[C@](C([H])([H])[H])(C(=O)C([H])([H])[C@]([H])(C(C([H])([H])[H])(C([H])([H])[H])O[H])O[H])O[H])O[H]	0	FALSE	FALSE	36	0	13	null	11	5	null	null	null	53	O(C1=CC2C(=CCC3C2CCC4CCCC43)CC1)C5OCCCC5	"{[C]=[C]=1, *C(*)=O=2, [H]O[C]=8, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=1, RC(R)=O=2, [H]O[C]=8, RO[C]OC(=[C])C(R)=O=1}"	-1.319800000000010	1.7418720400000100	176.13960000000000	109.79282200000000	65.73917800000000	1485	0.23300970873786400	0.8055555555555560	9097.13	0	3	0.05399999999999950	286.0	231.51000000000000	0.33341665183353200
"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(4-hydroxyphenyl)methoxy]oxane-3,4,5-triol"	4-hydroxybenzyl beta-d-glucopyranoside		no entry found	no entry found	49871127	no entry found	no entry found	no entry found	C13H18O7	286.27833472009400	AFC001821	OC[C@H]1O[C@@H](OCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O	WGBHVCJJFIVFAL-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])([H])O[C@@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H]	0	FALSE	FALSE	13	0	7	null	2	2	null	null	null	21	O(Cc1ccccc1)C2OCCCC2	"{[H]O[c]=1, [H]O[C]=4, *O[C]O*=1}"	"{[H]O[C*]=1, RO[C]OR=1, [H]O[C]=4}"	-1.5509000000000000	2.405290810000000	71.03130000000000	40.49627400000000	23.509726	360	0.3684210526315790	0.5384615384615380	1141.07	0	0	-1.229	100.0	119.61000000000000	0.41806292887295300
sitogluside	beta-sitosterol 3-O-beta-D-galactopyranoside;daucosterol	474-29-9	C20785	HMDB0033949	296119	67554	FDB018570	LMST01040251	C35H60O6	576.8486311825430	AFC001822	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C	NPJICTMALKLTFW-UHFFFAOYSA-N	C([H])([H])([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])=C4C([H])([H])[C@]([H])(C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H])O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])C([H])(C([H])([H])[H])C([H])([H])[H]	0	FALSE	FALSE	35	0	6	null	11	5	null	null	null	45	O1CCCCC1OC2CC3=CCC4C(CCC5CCCC54)C3CC2	"{[C]=[C]=1, [H]O[C]=4, *O[C]O*=1}"	"{[C]=[C]=1, RO[C]OR=1, [H]O[C]=4}"	6.337200000000000	40.16010384000000	162.1786	106.4195800000000	69.42442000000000	1338	0.2376237623762380	0.9428571428571430	9385.06	0	2	10.487000000000000	228.0	99.38000000000000	0.17240332764802200
"(1S,2S,4R,6S,9R,10R,11R,14R,15R)-9-hydroxy-6-(2-methoxypropan-2-yl)-2,9,11,14,19,19-hexamethyl-17-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-5-oxapentacyclo[12.8.0.0²,¹¹.0⁴,¹⁰.0¹⁵,²⁰]docosa-16,20-diene-8,13,18-trione"									C37H54O12	690.8188880185800	AFC001823	COC(C)(C)[C@@H]1CC(=O)[C@](C)(O)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1	IEGSGKOVOHXXNB-UHFFFAOYSA-N	C([H])([H])([H])C1(C([H])([H])[H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4(C([H])([H])[H])C([H])([H])[C@]5([H])[C@@]([H])([C@@]4(C([H])([H])[H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])[C@]2([H])C([H])=C(C1=O)O[C@@]6([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O6)O[H])O[H])O[H])[C@](C([H])([H])[H])(C(=O)C([H])([H])[C@@]([H])(C(C([H])([H])[H])(C([H])([H])[H])OC([H])([H])[H])O5)O[H]	0	FALSE	FALSE	37	0	12	null	15	6	null	null	null	54	O(C1=CC2C(=CCC3C2CCC4C5CCCCOC5CC34)CC1)C6OCCCC6	"{[C]=[C]=1, *C(*)=O=2, *O*=2, [H]O[C]=5, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=1, ROR=2, RC(R)=O=2, [H]O[C]=5, RO[C]OC(=[C])C(R)=O=1}"	-0.1448000000000010	0.02096704000000040	177.38070000000000	110.75082200000000	69.57117800000000	1443	0.2815533980582520	0.8108108108108110	9312.12	0	2	1.5910000000000000	292.0	189.28000000000000	0.2741751858283060
"5,7-dihydroxy-8-[(4-hydroxyphenyl)methyl]-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-2-(4-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)chromen-4-one"									C34H36O16	700.6413664696300	AFC001824	O=c1cc(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)oc2c(Cc3ccc(O)cc3)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	SQHLGKXVTSPZLS-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])([H])C2=C3C(=C(C(=C2O[H])[C@@]4([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O4)O[H])O[H])O[H])O[H])C(=O)C([H])=C(C5=C([H])C([H])=C(C([H])=C5[H])O[C@@]6([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O6)O[H])O[H])O[H])O3	0	FALSE	FALSE	34	0	16	null	7	6	null	null	null	55	O1C(=CCc2cc(cc(c12)Cc3ccccc3)C4OCCCC4)c5ccc(OC6OCCCC6)cc5	"{*o*=1, *O*=1, [H]O[c]=3, [c]=O=1, [H]O[C]=8, *O[C]O*=1}"	"{[C*]=O=1, ROR=1, [H]O[C*]=3, RO*R=1, RO[C]OR=1, [H]O[C]=8}"	-3.7343000000000000	13.944996490000000	180.00830000000000	96.67654800000000	47.977452	1705	0.4186046511627910	0.38235294117647100	5831.16	0	3	-1.4240000000000000	274.0	276.52	0.3949155493785440
"(1R,2R,3aS,3bS,9aR,9bR,11aR)-2-hydroxy-3a,6,6,9b,11a-pentamethyl-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1-[(2R,5S)-2,5,6-trihydroxy-6-methyl-3-oxoheptan-2-yl]-1H,2H,3H,3bH,4H,9aH,11H-cyclopenta[a]phenanthrene-7,10-dione"									C36H54O13	694.8075570493620	AFC001825	CC1(C)C(=O)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)C[C@H](O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C	XPEAYHKXEWXAKV-UHFFFAOYSA-N	C([H])([H])([H])C1(C([H])([H])[H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4(C([H])([H])[H])C([H])([H])[C@]([H])([C@@]([H])([C@@]4(C([H])([H])[H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])[C@]2([H])C([H])=C(C1=O)O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])[C@](C([H])([H])[H])(C(=O)C([H])([H])[C@@]([H])(C(C([H])([H])[H])(C([H])([H])[H])O[H])O[H])O[H])O[H]	0	FALSE	FALSE	36	0	13	null	11	5	null	null	null	53	O(C1=CC2C(=CCC3C2CCC4CCCC43)CC1)C5OCCCC5	"{[C]=[C]=1, *C(*)=O=2, [H]O[C]=8, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=1, RC(R)=O=2, [H]O[C]=8, RO[C]OC(=[C])C(R)=O=1}"	-1.319800000000010	1.7418720400000100	176.13960000000000	109.79282200000000	65.73917800000000	1485	0.23300970873786400	0.8055555555555560	9097.13	0	3	0.05399999999999950	286.0	231.51000000000000	0.33341665183353200
"(1S,2S,4R,6S,9R,10R,11R,14R,15R)-9,17-dihydroxy-6-(2-methoxypropan-2-yl)-2,9,11,14,19,19-hexamethyl-5-oxapentacyclo[12.8.0.0²,¹¹.0⁴,¹⁰.0¹⁵,²⁰]docosa-16,20-diene-8,13,18-trione"									C31H44O7	528.678040461748	AFC001826	COC(C)(C)[C@@H]1CC(=O)[C@](C)(O)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1	KGYOQUPPUIDIOS-UHFFFAOYSA-N	C([H])([H])([H])C1(C([H])([H])[H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4(C([H])([H])[H])C([H])([H])[C@]5([H])[C@@]([H])([C@@]4(C([H])([H])[H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])[C@]2([H])C([H])=C(C1=O)O[H])[C@](C([H])([H])[H])(C(=O)C([H])([H])[C@@]([H])(C(C([H])([H])[H])(C([H])([H])[H])OC([H])([H])[H])O5)O[H]	0	FALSE	FALSE	31	0	7	null	14	5	null	null	null	42	O1CCCCC2C1CC3C4CC=C5CCC=CC5C4CCC23	"{[C]=[C]=1, *C(*)=O=2, *O*=2, [H]O[C]=1, *C(=O)C(=[C])O[H]=1}"	"{[C]=[C]=1, ROR=2, RC(R)=O=2, RC(=O)C(=[C])O[H]=1, [H]O[C]=1}"	1.9461000000000000	3.7873052099999800	144.6806	89.51289199999990	54.807108000000000	867	0.2682926829268290	0.7741935483870970	5990.07	0	1	3.3260000000000000	232.0	110.13000000000000	0.20845766730455200
myristoleic acid	9-tetradecenoic acid	544-64-9	C08322	HMDB0002000	68344	27781	FDB012633	LMFA01030051	C14H26O2	226.35557200964100	AFC001827	CCCC/C=C\CCCCCCCC(=O)O	YWWVWXASSLXJHU-UHFFFAOYSA-N	C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H]	0	FALSE	FALSE	14	0	2	null	0	0	null	null	null	15	null	"{[C]=[C]=1, *C(=O)O[H]=1}"	"{[C]=[C]=1, RC(=O)O[H]=1}"	5.0106	25.10611236	68.99820000000000	43.580618000000000	29.38138200000000	321	0.0	0.7857142857142860	1441.02	0	2	5.9160000000000000	60.0	37.3	0.16490321899981700
p-(methoxymethyl)phenol	4-(methoxymethyl)phenol	5355-17-9	no entry found	no entry found	79310	133885	no entry found	no entry found	C8H10O2	138.1641045677010	AFC001828	COCc1ccc(O)cc1	AHXXIALEMINDAW-UHFFFAOYSA-N	C([H])([H])([H])OC([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])O[H]	0	FALSE	FALSE	8	0	2	null	1	1	null	null	null	10	c1ccccc1	"{*O*=1, [H]O[c]=1}"	"{[H]O[C*]=1, ROR=1}"	0.6044999999999990	0.3654202499999990	43.3692	22.351930000000000	12.848070000000000	102	0.3	0.25	310.02	0	0	0.3980000000000000	44.0	29.46	0.21337299753776600
isoamyl butyrate	isopentyl butyrate;3-methylbutyl butanoate;3-methylbutyl butyrate	106-27-4	no entry found	HMDB0040221	7795	87422	FDB019935	LMFA07010574			AFC001829																																		
cis-3-hexenyl acetate	(Z)-3-hexenyl acetate;(Z)-hex-3-enyl acetate;(3Z)-3-hexenyl acetate	3681-71-8	C19757	HMDB0040215	5363388	61316	FDB019927	LMFA07010181			AFC001830																																		
1-decanol	decan-1-ol;decyl alcohol	112-30-1	C01633	HMDB0011624	8174	28903	FDB012351	LMFA05000062			AFC001831																																		
tetradecanal	myristyl aldehyde	124-25-4	no entry found	HMDB0034283	31291	84067	FDB012621	LMFA06000078			AFC001832																																		